"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Deadlift (Barbell)",,"",2,"normal",120,8,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Dumbbell Row",,"",0,"normal",30,10,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Dumbbell Row",,"",1,"normal",30,10,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Dumbbell Row",,"",2,"normal",30,10,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Rear Delt Reverse Fly (Cable)",,"",0,"normal",7,15,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Rear Delt Reverse Fly (Cable)",,"",1,"normal",7,15,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Rear Delt Reverse Fly (Cable)",,"",2,"normal",10,12,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Seated Incline Curl (Dumbbell)",,"",0,"normal",16,12,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Seated Incline Curl (Dumbbell)",,"",1,"normal",16,12,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Seated Incline Curl (Dumbbell)",,"",2,"normal",16,12,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Hammer Curl (Dumbbell)",,"",0,"normal",16,11,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Hammer Curl (Dumbbell)",,"",1,"normal",16,11,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Hammer Curl (Dumbbell)",,"",2,"normal",16,11,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Rear Delt Row (elbows flared high row with dumbbells)",,"",0,"normal",10,12,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Rear Delt Row (elbows flared high row with dumbbells)",,"",1,"normal",12,15,,,
"Wednesday – Pull (Back, Biceps, Rear Delts)","2 Jul 2025, 15:13","2 Jul 2025, 16:47","","Rear Delt Row (elbows flared high row with dumbbells)",,"",2,"normal",12,15,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Warm Up",,"",0,"normal",,,,600,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Bench Press (Barbell)",,"",0,"normal",90,7,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Bench Press (Barbell)",,"",1,"normal",90,6,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Bench Press (Barbell)",,"",2,"normal",90,6,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Bench Press (Barbell)",,"",3,"normal",90,6,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Incline Bench Press (Dumbbell)",,"",0,"normal",60,8,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Incline Bench Press (Dumbbell)",,"",1,"normal",52,8,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Incline Bench Press (Dumbbell)",,"",2,"normal",52,8,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Seated Overhead Press (Dumbbell)",,"",0,"normal",44,6,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Seated Overhead Press (Dumbbell)",,"",1,"normal",40,6,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Seated Overhead Press (Dumbbell)",,"",2,"normal",40,6,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Seated Overhead Press (Dumbbell)",,"",3,"normal",36,7,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Lateral Raise (Dumbbell)",,"",0,"normal",16,12,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Lateral Raise (Dumbbell)",,"",1,"normal",12,13,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Lateral Raise (Dumbbell)",,"",2,"normal",12,12,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Seated Chest Flys (Cable)",,"",0,"normal",22,12,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Seated Chest Flys (Cable)",,"",1,"normal",22,12,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Seated Chest Flys (Cable)",,"",2,"normal",22,12,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Triceps Extension (Suspension)",,"21 rett",0,"normal",,10,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Triceps Extension (Suspension)",,"21 rett",1,"normal",,10,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Triceps Extension (Suspension)",,"21 rett",2,"normal",,10,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Skullcrusher (Dumbbell)",,"",0,"normal",20,15,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Skullcrusher (Dumbbell)",,"",1,"normal",20,15,,,
"Monday – Push (Chest, Shoulders, Triceps)","30 Jun 2025, 15:55","30 Jun 2025, 17:22","","Skullcrusher (Dumbbell)",,"",2,"normal",24,12,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Warm Up",,"",0,"normal",,,,895,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Romanian Deadlift (Barbell)",,"",0,"normal",60,10,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Romanian Deadlift (Barbell)",,"",1,"normal",60,10,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Romanian Deadlift (Barbell)",,"",2,"normal",60,10,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Romanian Deadlift (Barbell)",,"",3,"normal",60,10,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Squat (Barbell)",,"",0,"normal",90,6,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Squat (Barbell)",,"",1,"normal",90,6,,,
